   sacubitril-valsartan-hfref                   ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
   sglt2-primary-prevention-hf                  ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 4->4 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   spironolactone-hfref-mortality               ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 3->3 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   statins-primary-prevention-elderly           ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   ticagrelor-vs-clopidogrel-acs                ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 2->2 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   tocilizumab-covid19-mortality                ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
   tranexamic-acid-pph                          ratchet=0 lost=0 added=1 other=0 digests=4 outcomes_moved=0 primary k 1->1 withdrawn False->False
      ADDED  [banner] Check this page yourself. One program checks this page. Each is standard-library Python served from this site;
REBUILD INVARIANCE vs 9fc4518ab792 (--base): 32 of 32 pages PASS; acknowledgement-file problems: 0
named pages: sacubitril-valsartan-hfref=PASS, dapagliflozin-hfpef-hosp=PASS, empagliflozin-hfpef-hosp=PASS, glp1-ra-mace-t2d=PASS
