id|nct_id|ctgov_group_code|result_type|title|description|outcome_id
838553325|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646510
838553326|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646510
838553327|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646511
838553328|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646511
838553329|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646511
838553330|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646511
838553331|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646512
838553332|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646512
838553333|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646512
838553334|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646512
838553335|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646513
838553336|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646513
838553337|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646513
838553338|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646513
838553339|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646514
838553340|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646514
838553341|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646514
838553342|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646514
838553343|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646515
838553344|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646515
838553345|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646515
838553346|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646515
838553347|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646516
838553348|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646516
838553349|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646516
838553350|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646516
838553351|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646517
838553352|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646517
838553353|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646518
838553354|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646518
838553355|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646518
838553356|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646518
838553357|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646519
838553358|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646519
838553359|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646519
838553360|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646519
838553361|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646520
838553362|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646520
838553363|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646520
838553364|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646520
838553365|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646521
838553366|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646521
838553367|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646521
838553368|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646521
838553369|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646522
838553370|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646522
838553371|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646522
838553372|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646522
838553373|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646523
838553374|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646523
838553375|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646523
838553376|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646523
838553377|NCT00135226|OG000|Outcome|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|258646524
838553378|NCT00135226|OG001|Outcome|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|258646524
838553379|NCT00135226|OG002|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646524
838553380|NCT00135226|OG003|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646524
838553381|NCT00135226|OG000|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646525
838553382|NCT00135226|OG001|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646525
838553383|NCT00135226|OG000|Outcome|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|258646526
838553384|NCT00135226|OG001|Outcome|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|258646526
838554142|NCT00135226|EG000|Reported Event|Aspirin|Group includes 3870 participants in the Aspirin+Omega-3 arm, and 3870 participants in the Aspirin+Placebo Omega-3 arm|
838554143|NCT00135226|EG001|Reported Event|Placebo Aspirin|Group includes 3870 participants in the Placebo Aspirin+Omega-3 arm, and 3870 participants in the Placebo Aspirin+Placebo Omega-3 arm|
838554144|NCT00135226|EG002|Reported Event|Omega-3|Group includes 3870 participants in the Omega-3+Aspirin arm, and 3870 participants in the Omega-3+Placebo Aspirin arm|
838554145|NCT00135226|EG003|Reported Event|Placebo Omega-3|Group includes 3870 participants in the Placebo Omega-3+Aspirin arm, and 3870 participants in the Placebo Omega-3+Placebo Aspirin arm|
838554287|NCT00135226|FG000|Participant Flow|Aspirin + Omega-3 Ethyl Esters|"Participants receive 100mg of aspirin once daily and 1g of omega-3 ethyl esters once daily.~Aspirin~Omega-3 ethyl esters"|
838554288|NCT00135226|FG001|Participant Flow|Aspirin + Placebo Omega-3 Ethyl Esters|"Participants receive 100mg of aspirin once daily and placebo omega-3 ethyl esters once daily.~Aspirin~Placebo omega-3 ethyl esters"|
838554289|NCT00135226|FG002|Participant Flow|Placebo Aspirin + Omega-3 Ethyl Esters|"Participants receive placebo aspirin once daily and 1g of omega-3 ethyl esters once daily.~Placebo aspirin~Omega-3 ethyl esters"|
838554290|NCT00135226|FG003|Participant Flow|Placebo Aspirin + Placebo Omega-3 Ethyl Esters|"Participants receive placebo aspirin once daily and placebo omega-3 ethyl esters once daily.~Placebo aspirin~Placebo omega-3 ethyl esters"|
838554435|NCT00135226|BG000|Baseline|Aspirin + Omega-3|Participants receive 100mg of aspirin once daily and 1g of omega-3 ethyl esters once daily.|
838554436|NCT00135226|BG001|Baseline|Aspirin + Placebo Omega-3|Participants receive 100mg of aspirin once daily and placebo omega-3 ethyl esters once daily.|
838554437|NCT00135226|BG002|Baseline|Placebo Aspirin + Omega-3|Participants receive placebo aspirin once daily and 1g of omega-3 ethyl esters once daily.|
838554438|NCT00135226|BG003|Baseline|Placebo Aspirin + Placebo Omega-3|Participants receive placebo aspirin once daily and placebo omega-3 ethyl esters once daily.|
838554439|NCT00135226|BG004|Baseline|Total|Total of all reporting groups|
838959939|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769011
838959940|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769011
838959941|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769012
838959942|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769012
838959943|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769013
838959944|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769013
838959945|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769014
838959946|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769014
838959947|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769015
838959948|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769015
838959949|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769016
838959950|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769016
838959951|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769017
838959952|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769017
838959953|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769018
838959954|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769018
838959955|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769019
838959956|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769019
838959957|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769020
838959958|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769020
838959959|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769021
838959960|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769021
838959961|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769022
838959962|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769022
838959963|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769023
838959964|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769023
838959965|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769024
838959966|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769024
838959967|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769025
838959968|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769025
838959969|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769026
838959970|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769026
838959971|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769027
838959972|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769027
838959973|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769028
838959974|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769028
838959975|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769029
838959976|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769029
838959977|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769030
838959978|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769030
838959979|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769031
838959980|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769031
838959981|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769032
838959982|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769032
838959983|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769033
838959984|NCT03574597|OG001|Outcome|Placebo|Participants received placebo (matched to semaglutide) subcutaneously once weekly up to the end of treatment period.|258769033
838959985|NCT03574597|OG000|Outcome|Semaglutide|Participants received semaglutide subcutaneously once weekly in a fixed-dose escalation manner, with dose increases every 4 weeks for up to week 16 (0.25 mg, 0.5 mg, 1.0 mg and 1.7 mg) followed by maintenance dose of 2.4 mg once weekly up to the end of treatment period.|258769034
